state,year,startup.job.creation..average...of.jobs.created.,startup.early.survival.rate..percent.,opportunity.share.of.new.entrepreneaurs..percent.,rate.of.new.entrepreneurs..percent.
Pennsylvania,2015,3.76,79.99,75.564,0.177
Pennsylvania,2016,3.83,79.99,82.998,0.169
Pennsylvania,2017,3.91,80.18,84.708,0.177
Pennsylviania,2018,3.67,80.4987508,86.522,0.19
Rhode Island,2010,3.72,76.63,66.146,0.248
Rhode Island,2011,3.63,77.23,68.241,0.239
Rhode Island,2012,4.07,78.36,78.425,0.226
Rhode Island,2013,3.91,77.35,83.26,0.186
Rhode Island,2014,3.82,76.64,87.76,0.196
Rhode Island,2015,4.07,78.25,87.302,0.226
Rhode Island,2016,4,76.39,80.416,0.211
Rhode Island,2017,3.95,77.41,68.721,0.176
Rhode Island,2018,4.16,74.298316,72.464,0.123
South Carolina,2010,3.99,76.64,78.52,0.236
South Carolina,2011,4.04,78.27,67.778,0.249
South Carolina,2012,4.21,79.19,57.532,0.292
South Carolina,2013,3.67,77.61,60.57,0.301
South Carolina,2014,4.24,81.56,72.586,0.324
South Carolina,2015,4.09,79.55,79.804,0.294
South Carolina,2016,4.5,80.11,79.558,0.287
South Carolina,2017,4.34,80.82,77.647,0.254
South Carolina,2018,4.89,79.6802476,83.312,0.259
South Dakota,2010,3.83,77.03,86.63,0.302
South Dakota,2011,3.06,80.93,81.829,0.313
South Dakota,2012,4.29,77.37,82.955,0.262
South Dakota,2013,3.61,79.6,83.994,0.334
South Dakota,2014,4.4,80.57,86.915,0.34
South Dakota,2015,3.7,79.36,84.365,0.354
South Dakota,2016,4.09,81.18,89.68,0.313
South Dakota,2017,4.04,81.44,92.732,0.278
South Dakota,2018,4.05,80.2022352,94.053,0.322
Tennessee,2010,3.94,76.88,61.618,0.372
Tennessee,2011,4.11,77.02,55.693,0.356
Tennessee,2012,4.25,78.74,66.417,0.315
Tennessee,2013,4.31,77.39,61.733,0.278
Tennessee,2014,4.04,78.18,69.973,0.236
Tennessee,2015,4.21,79.28,78.204,0.245
Tennessee,2016,4.1,79.1,88.658,0.229
Tennessee,2017,4.66,81.18,89.394,0.258
Tennessee,2018,4.87,80.3228477,88.107,0.267
Texas,2010,4.89,78.43,77.858,0.401
Texas,2011,5.21,78.99,76.222,0.431
Texas,2012,5.52,79.91,76.369,0.4
Texas,2013,5.51,80.48,77.939,0.374
Texas,2014,5.52,80.56,80.63,0.364
Texas,2015,5.53,81.23,80.954,0.385
Texas,2016,5.32,79.96,84.586,0.403
Texas,2017,5.69,79.46,83.789,0.424
Texas,2018,5.74,79.1692945,84.638,0.427
Utah,2010,5.14,74.02,82.173,0.346
Utah,2011,4.93,76.74,75.789,0.338
Utah,2012,5.16,76.6,80.869,0.325
Utah,2013,5.03,77.83,80.269,0.311
Utah,2014,4.9,81.82,85.75,0.301
Utah,2015,5.58,77.43,83.622,0.275
Utah,2016,5.14,76.45,88.064,0.282
Utah,2017,5.2,78.57,90.032,0.296
Utah,2018,5.67,79.2679931,89.508,0.288
Vermont,2010,3.34,77.68,77.114,0.372
Vermont,2011,3.63,76.69,73.167,0.403
Vermont,2012,3.82,80.82,73.821,0.453
Vermont,2013,3.25,78.18,74.38,0.39
Vermont,2014,4.29,78.24,79.431,0.396
Vermont,2015,4.29,78.54,75.706,0.359
Vermont,2016,4.24,78.37,78.272,0.396
Vermont,2017,3.81,78.82,76.546,0.384
Vermont,2018,4.33,80.5291723,78.723,0.356
Virginia,2010,4.44,77.08,79.912,0.237
Virginia,2011,5.22,77.95,75.09,0.237
Virginia,2012,5.02,78.05,75.861,0.215
Virginia,2013,4.89,78.18,79.769,0.214
Virginia,2014,3.79,77.08,81.446,0.224
Virginia,2015,4.91,77.61,82.49,0.239
Virginia,2016,7.17,78.01,77.637,0.212
Virginia,2017,5.02,78.75,79.946,0.214
Virginia,2018,4.68,78.6171151,76.141,0.181
Washington,2010,3.5,80.77,74.268,0.25
Washington,2011,3.74,74.51,72.534,0.237
Washington,2012,3.98,71.94,72.959,0.258
Washington,2013,3.88,72.79,74.82,0.234
Washington,2014,4.52,86.7,76.243,0.24
Washington,2015,4.86,78.63,81.319,0.238
Washington,2016,5.21,76.85,87.39,0.269
Washington,2017,5.32,80.28,92.01,0.315
Washington,2018,5.26,80.8945949,90.131,0.298
West Virginia,2010,2.72,78.28,80.011,0.22
West Virginia,2011,2.83,79.06,83.474,0.221
West Virginia,2012,3.48,79.84,81.908,0.176
West Virginia,2013,3.44,76.88,85.749,0.212
West Virginia,2014,2.77,76.32,77.588,0.198
West Virginia,2015,3.3,78.08,78.765,0.21
West Virginia,2016,2.95,77.74,85.663,0.21
West Virginia,2017,2.95,79.37,89.004,0.251
West Virginia,2018,3.06,80.1492537,90.403,0.209
Wicsonsin,2018,3.88,79.6181676,68.433,0.245
Wisconsin,2010,3.18,80.45,80.163,0.217
Wisconsin,2011,3.65,80.9,73.271,0.237
Wisconsin,2012,3.72,82.05,77.696,0.198
Wisconsin,2013,4.07,80.38,78.536,0.195
Wisconsin,2014,3.86,82.48,71.176,0.166
Wisconsin,2015,4.1,81.46,74.194,0.191
Wisconsin,2016,4.25,79.84,66.388,0.209
Wisconsin,2017,4.17,79.29,73.271,0.258
Wyoming,2010,4.7,76.68,81.334,0.276
Wyoming,2011,5.44,79.06,80.443,0.254
Wyoming,2012,4.99,78.35,82.972,0.224
Wyoming,2013,5.17,75.81,88.934,0.275
Wyoming,2014,4.36,78.36,88.685,0.317
Wyoming,2015,5.63,79.95,89.478,0.386
Wyoming,2016,4.59,76.53,86.398,0.453
Wyoming,2017,4.72,77.25,85.588,0.471
Wyoming,2018,4.79,81.6604709,88.283,0.445
