state,year,minwage,minwageimplementation,paidleave,paidleaveimplementation,ridesharing,ridesharingimplementation,projectlaboragreement,projectlaboragreementimplementation,fairscheduling,fairschedulingimplementation,prevailingwage,prevailingwageimplementation,broadband,broadbandimplementation
Arkansas,2014,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Arkansas,2015,0,0,0,0,1,1,1,1,0,0,0,0,1,0
Arkansas,2016,0,0,0,0,1,0,1,0,0,0,0,0,1,0
Arkansas,2017,1,1,1,1,1,0,1,0,1,1,0,0,1,0
Arkansas,2018,1,0,1,0,1,0,1,0,1,0,0,0,1,0
California,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California,2017,0,0,0,0,1,1,0,0,0,0,0,0,0,0
California,2018,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Colorado,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colorado,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colorado,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colorado,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colorado,2014,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Colorado,2015,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Colorado,2016,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Colorado,2017,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Colorado,2018,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Connecticut,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Connecticut,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Connecticut,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Connecticut,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Connecticut,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Connecticut,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Connecticut,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Connecticut,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Connecticut,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delaware,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delaware,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delaware,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delaware,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delaware,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delaware,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delaware,2016,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Delaware,2017,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Delaware,2018,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Florida,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florida,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florida,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florida,2013,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Florida,2014,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Florida,2015,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Florida,2016,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Florida,2017,0,0,1,0,1,1,1,1,0,0,1,1,0,0
Florida,2018,0,0,1,0,1,0,1,0,0,0,1,0,0,0
Georgia,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia,2013,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Georgia,2014,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Georgia,2015,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Georgia,2016,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Georgia,2017,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Georgia,2018,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Hawaii,2010,0,0,0,0,0,0,0,0,0,0,0,,0,0
Hawaii,2011,0,0,0,0,0,0,0,0,0,0,0,,0,0
Hawaii,2012,0,0,0,0,0,0,0,0,0,0,0,,0,0
Hawaii,2013,0,0,0,0,0,0,0,0,0,0,0,,0,0
Hawaii,2014,0,0,0,0,0,0,0,0,0,0,0,,0,0
Hawaii,2015,0,0,0,0,0,0,0,0,0,0,0,,0,0
Hawaii,2016,0,0,0,0,1,1,0,0,0,0,0,,0,0
Hawaii,2017,0,0,0,0,1,0,0,0,0,0,0,,0,0
Hawaii,2018,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Idaho,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Idaho,2011,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Idaho,2012,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Idaho,2013,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Idaho,2014,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Idaho,2015,0,0,0,0,1,1,0,0,0,0,1,0,0,0
Idaho,2016,1,1,0,0,1,0,0,0,0,0,1,0,0,0
Idaho,2017,1,0,0,0,1,0,0,0,0,0,1,0,0,0
Idaho,2018,1,0,0,0,1,0,0,0,0,0,1,0,0,0
Illinois,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,2015,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Illinois,2016,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Illinois,2017,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Illinois,2018,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Indiana,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indiana,2011,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Indiana,2012,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Indiana,2013,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Indiana,2014,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Indiana,2015,1,0,1,0,1,1,0,0,0,0,1,1,0,0
Indiana,2016,1,0,1,0,1,0,0,0,1,1,1,0,0,0
Indiana,2017,1,0,1,0,1,0,0,0,1,0,1,0,0,0
Indiana,2018,1,0,1,0,1,0,0,0,1,0,1,0,0,0
Iowa,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iowa,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iowa,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iowa,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iowa,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iowa,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iowa,2016,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Iowa,2017,1,1,1,1,1,0,1,1,1,1,0,0,0,0
Iowa,2018,1,0,1,0,1,0,1,0,1,0,0,0,0,0
Kansas,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,2012,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Kansas,2013,1,1,1,1,0,0,1,0,0,0,1,1,0,0
Kansas,2014,1,0,1,0,0,0,1,0,0,0,1,0,0,0
Kansas,2015,1,0,1,0,1,1,1,0,0,0,1,0,0,0
Kansas,2016,1,0,1,0,1,0,1,0,1,1,1,0,0,0
Kansas,2017,1,0,1,0,1,0,1,0,1,0,1,0,0,0
Kansas,2018,1,0,1,0,1,0,1,0,1,0,1,0,0,0
Kentucky,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kentucky,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kentucky,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kentucky,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kentucky,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kentucky,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kentucky,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kentucky,2017,1,1,1,1,0,0,0,0,0,0,1,1,0,0
Kentucky,2018,1,0,1,0,1,1,0,0,0,0,1,0,0,0
Louisiana,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Louisiana,2011,0,0,0,0,0,0,1,1,0,0,1,1,0,0
Louisiana,2012,0,0,1,1,0,0,1,0,0,0,1,0,0,0
Louisiana,2013,0,0,1,0,0,0,1,0,0,0,1,0,0,0
Louisiana,2014,0,0,1,0,0,0,1,0,0,0,1,0,0,0
Louisiana,2015,0,0,1,0,0,0,1,0,0,0,1,0,0,0
Louisiana,2016,0,0,1,0,0,0,1,0,0,0,1,0,0,0
Louisiana,2017,0,0,1,0,0,0,1,0,0,0,1,0,0,0
Louisiana,2018,0,0,1,0,0,0,1,0,0,0,1,0,0,0
Maine,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maine,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maine,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maine,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maine,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maine,2015,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Maine,2016,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Maine,2017,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Maine,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maryland,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maryland,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maryland,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maryland,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maryland,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maryland,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maryland,2016,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Maryland,2017,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Maryland,2018,0,0,1,1,1,0,0,0,0,0,0,0,0,0
Massachusetts,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Massachusetts,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Massachusetts,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Massachusetts,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Massachusetts,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Massachusetts,2015,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Massachusetts,2016,0,0,1,0,1,1,0,0,0,0,0,0,0,0
Massachusetts,2017,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Massachusetts,2018,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Michigan,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michigan,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michigan,2012,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Michigan,2013,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Michigan,2014,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Michigan,2015,1,1,1,1,0,0,1,0,1,1,1,1,0,0
Michigan,2016,1,0,1,0,1,1,1,0,1,0,1,0,0,0
Michigan,2017,1,0,1,0,1,0,1,0,1,0,1,0,0,0
Michigan,2018,1,0,1,0,1,0,1,0,1,0,1,0,0,0
Minnesota,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minnesota,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minnesota,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minnesota,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minnesota,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minnesota,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minnesota,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minnesota,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minnesota,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mississippi,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mississippi,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mississippi,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mississippi,2013,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Mississippi,2014,1,0,1,0,0,0,1,1,0,0,0,0,0,0
Mississippi,2015,1,0,1,0,0,0,1,0,0,0,0,0,0,0
Mississippi,2016,1,0,1,0,1,1,1,0,0,0,0,0,0,0
Mississippi,2017,1,0,1,0,1,0,1,0,0,0,0,0,0,0
Mississippi,2018,1,0,1,0,1,0,1,0,0,0,0,0,0,0
Missouri,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Missouri,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Missouri,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Missouri,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Missouri,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Missouri,2015,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Missouri,2016,1,0,1,0,1,1,0,0,0,0,0,0,0,0
Missouri,2017,1,0,1,0,1,0,1,1,0,0,0,0,0,0
Missouri,2018,1,0,1,0,1,0,1,0,0,0,0,0,0,0
Montana,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,2015,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Montana,2016,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Montana,2017,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Montana,2018,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Nebraska,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nevada,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nevada,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nevada,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nevada,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nevada,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nevada,2015,0,0,0,0,1,1,1,1,0,0,0,0,0,0
Nevada,2016,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Nevada,2017,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Nevada,2018,0,0,0,0,1,0,1,0,0,0,0,0,0,0
New Hampshire,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Hampshire,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Hampshire,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Hampshire,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Hampshire,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Hampshire,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Hampshire,2016,0,0,0,0,1,1,0,0,0,0,0,0,0,0
New Hampshire,2017,0,0,0,0,1,0,0,0,0,0,0,0,0,0
New Hampshire,2018,0,0,0,0,1,0,0,0,0,0,0,0,0,0
New Jersey,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Jersey,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Jersey,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Jersey,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Jersey,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Jersey,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Jersey,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Jersey,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Jersey,2018,0,0,1,1,0,0,0,0,0,0,0,0,0,0
New Mexico,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Mexico,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Mexico,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Mexico,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Mexico,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Mexico,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Mexico,2016,0,0,0,0,1,1,0,0,0,0,0,0,0,0
New Mexico,2017,0,0,0,0,1,0,0,0,0,0,0,0,0,0
New Mexico,2018,0,0,0,0,1,0,0,0,0,0,0,0,0,0
New York,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New York,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New York,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New York,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New York,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New York,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New York,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New York,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New York,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Carolina,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Carolina,2011,0,0,0,0,0,0,0,0,0,0,0,0,1,1
North Carolina,2012,0,0,0,0,0,0,0,0,0,0,0,0,1,0
North Carolina,2013,0,0,0,0,0,0,1,1,0,0,0,0,1,0
North Carolina,2014,0,0,0,0,0,0,1,0,0,0,0,0,1,0
North Carolina,2015,0,0,0,0,1,1,1,0,0,0,0,0,1,0
North Carolina,2016,1,1,1,1,1,0,1,0,0,0,0,0,1,0
North Carolina,2017,1,0,1,0,1,0,1,0,0,0,0,0,1,0
North Carolina,2018,1,0,1,0,1,0,1,0,0,0,0,0,1,0
North Dakota,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Dakota,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Dakota,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Dakota,2013,0,0,0,0,0,0,1,1,0,0,0,0,0,0
North Dakota,2014,0,0,0,0,0,0,1,0,0,0,0,0,0,0
North Dakota,2015,0,0,0,0,1,1,1,0,0,0,0,0,0,0
North Dakota,2016,0,0,0,0,1,0,1,0,0,0,0,0,0,0
North Dakota,2017,0,0,0,0,1,0,1,0,0,0,0,0,0,0
North Dakota,2018,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Ohio,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ohio,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ohio,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ohio,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ohio,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ohio,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ohio,2016,1,1,1,1,1,1,0,0,1,1,0,0,0,0
Ohio,2017,1,0,1,0,1,0,0,0,1,0,0,0,0,0
Ohio,2018,1,0,1,0,1,0,0,0,1,0,0,0,0,0
Oklahoma,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oklahoma,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oklahoma,2012,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Oklahoma,2013,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Oklahoma,2014,1,1,1,1,0,0,1,0,0,0,0,0,0,0
Oklahoma,2015,1,0,1,0,1,1,1,0,0,0,0,0,0,0
Oklahoma,2016,1,0,1,0,1,0,1,0,0,0,0,0,0,0
Oklahoma,2017,1,0,1,0,1,0,1,0,0,0,0,0,0,0
Oklahoma,2018,1,0,1,0,1,0,1,0,0,0,0,0,0,0
Oregon,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oregon,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oregon,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oregon,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oregon,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oregon,2015,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Oregon,2016,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Oregon,2017,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Oregon,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Pennsylvania,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pennsylvania,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pennsylvania,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pennsylvania,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pennsylvania,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pennsylvania,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pennsylvania,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pennsylvania,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pennsylviania,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhode Island,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhode Island,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhode Island,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhode Island,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhode Island,2014,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Rhode Island,2015,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhode Island,2016,1,0,0,0,1,1,0,0,0,0,0,0,0,0
Rhode Island,2017,1,0,1,1,1,0,0,0,0,0,0,0,0,0
Rhode Island,2018,1,0,1,0,1,0,0,0,0,0,0,0,0,0
South Carolina,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Carolina,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Carolina,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Carolina,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Carolina,2014,0,0,0,0,0,0,1,1,0,0,0,0,0,0
South Carolina,2015,0,0,0,0,1,1,1,0,0,0,0,0,0,0
South Carolina,2016,0,0,0,0,1,0,1,0,0,0,0,0,0,0
South Carolina,2017,0,0,1,1,1,0,1,0,0,0,0,0,0,0
South Carolina,2018,0,0,1,0,1,0,1,0,0,0,0,0,0,0
South Dakota,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Dakota,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Dakota,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Dakota,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Dakota,2014,0,0,0,0,0,0,1,1,0,0,0,0,0,0
South Dakota,2015,0,0,0,0,0,0,1,0,0,0,0,0,0,0
South Dakota,2016,0,0,0,0,1,1,1,0,0,0,0,0,0,0
South Dakota,2017,0,0,0,0,1,0,1,0,0,0,0,0,0,0
South Dakota,2018,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Tennessee,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tennessee,2011,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Tennessee,2012,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Tennessee,2013,1,1,1,1,0,0,1,0,0,0,1,1,0,0
Tennessee,2014,1,0,1,0,0,0,1,0,0,0,1,0,0,0
Tennessee,2015,1,0,1,0,0,0,1,0,0,0,1,0,0,0
Tennessee,2016,1,0,1,0,1,1,1,0,0,0,1,0,0,0
Tennessee,2017,1,0,1,0,1,0,1,0,1,1,1,0,0,0
Tennessee,2018,1,0,1,0,1,0,1,0,1,0,1,0,0,0
